дата,номер_документа,контрагент,товар,количество,цена,сумма,дата_оплаты,менеджер
2024-01-01,РН-202401-0001,ИП Тлеуов Б.М.,Калькулятор,2,108300,216600,2024-01-28,Дана Оспанова
2024-01-01,РН-202401-0002,ТОО Астана Комплект,МФУ струйное,30,52600,1578000,2024-01-22,Айгуль Нурланова
2024-01-01,РН-202401-0003,ИП Смагулова А.К.,Ручки шариковые (уп. 50 шт),49,104400,5115600,2024-01-03,Тимур Сергеев
2024-01-02,РН-202401-0004,ИП Иванова О.В.,Принтер лазерный,31,10100,313100,2024-01-04,Дана Оспанова
2024-01-03,РН-202401-0005,ТОО Достык Trade,Стол офисный,5,15600,78000,2024-01-10,Айгуль Нурланова
2024-01-03,РН-202401-0006,ИП Тлеуов Б.М.,МФУ струйное,16,38100,609600,2024-01-16,Тимур Сергеев
2024-01-03,РН-202401-0007,ТОО Shymkent Opt,Проектор,17,101700,1728900,2024-01-08,Айгуль Нурланова
2024-01-03,РН-202401-0008,ТОО КазОфисТорг,Флеш-накопитель 32 ГБ,11,86500,951500,2024-01-07,Айгуль Нурланова
2024-01-04,РН-202401-0009,ТОО Батыс Снаб,Шредер бумаги,25,109000,2725000,,Дана Оспанова
2024-01-05,РН-202401-0010,ИП Тлеуов Б.М.,Проектор,41,68700,2816700,2024-02-02,Айгуль Нурланова
2024-01-09,РН-202401-0011,ИП Тлеуов Б.М.,Флеш-накопитель 32 ГБ,8,15800,126400,2024-01-18,Тимур Сергеев
2024-01-10,РН-202401-0012,ТОО Каспий Логистик,Стол офисный,22,8300,182600,2024-01-28,Тимур Сергеев
2024-01-10,РН-202401-0013,ТОО Батыс Снаб,Шредер бумаги,30,45100,1353000,,Тимур Сергеев
2024-01-11,РН-202401-0014,ТОО Каспий Логистик,Стол офисный,18,146100,2629800,2024-01-15,Тимур Сергеев
2024-01-11,РН-202401-0015,ТОО Nur Business Group,Ручки шариковые (уп. 50 шт),16,27700,443200,2024-02-01,Тимур Сергеев
2024-01-11,РН-202401-0016,ИП Тлеуов Б.М.,Кресло офисное,43,104300,4484900,,Тимур Сергеев
2024-01-12,РН-202401-0017,ИП Иванова О.В.,Ручки шариковые (уп. 50 шт),12,132800,1593600,2024-01-27,Айгуль Нурланова
2024-01-12,РН-202401-0018,ТОО Аспан Технолоджи,Кресло офисное,45,77400,3483000,,Дана Оспанова
2024-01-13,РН-202401-0019,ТОО Достык Trade,Принтер лазерный,16,111500,1784000,2024-02-04,Тимур Сергеев
2024-01-19,РН-202401-0020,ТОО Батыс Снаб,Проектор,32,122500,3920000,,Айгуль Нурланова
2024-01-20,РН-202401-0021,ТОО Достык Trade,Папки-регистраторы,45,68800,3096000,2024-02-13,Тимур Сергеев
2024-01-22,РН-202401-0022,ТОО Каспий Логистик,Ручки шариковые (уп. 50 шт),28,149300,4180400,2024-02-07,Тимур Сергеев
2024-01-22,РН-202401-0023,ТОО Nur Business Group,Монитор 24 дюйма,8,55500,444000,,Тимур Сергеев
